product_category_name_english,avg_review_score,review_count
agro_industry_and_commerce,4.0,212
air_conditioning,3.969178082191781,292
art,3.9371980676328504,207
audio,3.8305555555555557,360
auto,4.065362595419847,4192
baby,4.010855263157895,3040
bed_bath_table,3.8990165725733017,10982
books_general_interest,4.446265938069216,549
books_technical,4.363636363636363,264
christmas_supplies,4.02054794520548,146
computers,4.175,200
computers_accessories,3.9343356463634027,7782
consoles_games,4.023978685612788,1126
construction_tools_construction,4.050865800865801,924
construction_tools_lights,4.0508474576271185,295
construction_tools_safety,3.844559585492228,193
cool_stuff,4.146464646464646,3762
costruction_tools_garden,4.046218487394958,238
drinks,4.037533512064343,373
electronics,4.037117903930131,2748
fashion_bags_accessories,4.145049504950495,2020
fashion_male_clothing,3.6412213740458017,131
fashion_shoes,4.248062015503876,258
fashion_underwear_beach,3.976923076923077,130
fixed_telephony,3.681992337164751,261
food,4.218181818181818,495
food_drink,4.310469314079422,277
furniture_bedroom,4.1192660550458715,109
furniture_decor,3.9100606060606062,8250
furniture_living_room,3.9016064257028114,498
garden_tools,4.04449594438007,4315
health_beauty,4.141218189403421,9588
home_appliances,4.170572916666667,768
home_appliances_2,4.139830508474576,236
home_confort,3.8402777777777777,432
home_construction,3.9382303839732886,599
housewares,4.054784619832321,6918
industry_commerce_and_business,4.09811320754717,265
kitchen_dining_laundry_garden_furniture,3.974910394265233,279
luggage_accessories,4.315257352941177,1088
market_place,4.019417475728155,309
musical_instruments,4.1513353115727005,674
office_furniture,3.4919499105545615,1677
perfumery,4.164757709251101,3405
pet_shop,4.184305627258647,1937
signaling_and_security,4.086294416243655,197
small_appliances,4.150074294205052,673
sports_leisure,4.106630928796178,8581
stationery,4.196478591436574,2499
telephony,3.9459219858156027,4512
toys,4.15895175116336,4083
watches_gifts,4.018855218855219,5940
